Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds GAU Err Coda_duration Amplitude Period
T1201 ? ? ? S ? 20161014 0004 30.800 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED23 ? ? ? P ? 20161014 0004 29.670 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED23 ? ? ? S ? 20161014 0004 32.740 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1299 ? ? ? P ? 20161014 0004 28.130 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED16 ? ? ? S ? 20161014 0004 35.660 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
MMO1 ? ? ? S ? 20161014 0004 37.290 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1204 ? ? ? P ? 20161014 0004 28.650 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
T1204 ? ? ? S ? 20161014 0004 30.830 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? P ? 20161014 0004 30.580 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
ED09 ? ? ? S ? 20161014 0004 34.560 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
SMA1 ? ? ? P ? 20161014 0004 28.310 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
SMA1 ? ? ? S ? 20161014 0004 30.310 GAU 2.00E-02 -1.00E+00 -1.00E+00 -1.00E+00
